"down2","weighted_distance","num_coverage_players2","time_cat","play_assignment","yards_to_go2","predicted_pct_pcp","play_id","num_coverage_players","away_franchise_id","away_team","def_score_before","defense","defense_franchise_id","distance","down","game_id","home_franchise_id","home_team","is_preseason","off_score_before","offense","offense_franchise_id","play_sequence","player","player_id","playled","position","quarter","rps","season","seconds_left_in_quarter","week","yards_to_go","pass_direction","pass_depth","attempt","run","dropback","yards","yards_after_catch","completion","touchdown","interception","hit_as_threw","pressure","sack","hit","hurry","hit_qb","hurry_qb","sack_qb","bat","spike","drop","thrown_away","lateral","extra_point","no_play","shotgun","pistol","dropback_type","blitz","dropback_depth","time_to_throw","time_to_pressure","play_action","defense_personnel","route","rpo","num_pass_rush_players","screen","primary_coverage","secondary_coverage","coverage_grade","tackle","assisted_tackle","player_interception","pass_breakup","missed_tackles","forced_fumbles","press_coverage","receiver_pressed_player_id","receiver_pressed","receiver_pressed_position","coverage_scheme","mofo_coverage_played","mofo_coverage_shown","contested_target","passer_grade","box_players","seconds_left_in_half","perfectly_covered","pcpoe"
"2","1",5,"2","1","2",0.238003690372332,4600035,5,4,"BUF",14,"MIA",17,2,2,23133,17,"MIA",0,14,"BUF",4,59,"Nik Needham",50356,"","LCB",2,"P",2022,369,3,67,"C",0,1,0,1,10,10,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"SD",1,7,1.5,1.2,0,"2-4-5","1R",1,6,1,0,0,0,0,0,0,0,0,0,0,0,"","","0","O","O",0,0,7,369,1,76.1996309627668
"2","1",5,"1","1","1",0.245954890895101,4638107,5,6,"CHI",12,"CHI",6,3,2,23148,21,"NYG",0,14,"NYG",21,96,"Roquan Smith",50892,"","LLB",3,"P",2022,614,4,80,"C",2,1,0,1,6,4,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,"RSR",1,0,4.2,2.6,1,"4-3-4","1R",0,6,0,1,0,0,1,0,0,0,0,0,0,0,"","","3","C","C",0,0.5,8,1514,1,75.4045109104899
"2","1",6,"2","1","2",0.250352529854363,4520036,6,8,"CLV",0,"CAR",5,2,2,23101,5,"CAR",0,7,"CLV",8,61,"Cory Littleton",11190,"","RILB",2,"P",2022,377,1,54,"L",29,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"SL",1,8,4.3,3.1,1,"4-2-5","9R",0,5,0,0,0,0,0,0,0,0,0,0,0,0,"","","1","C","C",0,-1,8,377,1,74.9647470145637
"2","1",6,"1","1","1",0.258576284514781,4563192,6,13,"HST",0,"HST",13,1,2,23126,10,"DEN",0,0,"DEN",10,7,"Kamu Grugier-Hill",10842,"","RILB",1,"P",2022,779,2,83,"C",10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"SD",1,6,2.1,0,1,"4-2-5","8R",0,5,0,0,0,0,0,0,0,0,0,0,0,0,"","","1","C","C",0,0,7,1679,1,74.1423715485219
"2","2",5,"2","1","3",0.26399418949064,4637407,5,6,"CHI",6,"CHI",6,6,2,23148,21,"NYG",0,7,"NYG",21,57,"Nicholas Morrow",51674,"TD","RILB",2,"P",2022,324,4,8,"X",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RSL",1,0,4.8,4,1,"4-3-4","",0,6,0,0,0,0,0,0,0,0,0,0,0,0,"","","1","C","C",0,0.5,10,324,1,73.600581050936
"2","2",7,"2","1","1",0.267266198052637,4524206,7,23,"LV",3,"LV",23,7,2,23112,27,"LAC",0,10,"LAC",27,56,"Denzel Perryman",9481,"","RLB",2,"P",2022,388,1,88,"C",-5,1,0,1,8,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"SD",0,5,1,0,0,"4-2-5","NR",1,4,0,0,0,0,0,0,0,0,0,0,0,0,"","","1","C","C",0,0,7,388,1,73.2733801947363
"2","3",5,"2","1","2",0.268188815227677,4601839,5,11,"DET",24,"DET",11,10,2,23136,18,"MIN",0,21,"MIN",18,160,"Alim McNeill",76996,"","LE",4,"P",2022,197,3,55,"R",-1,1,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"SD",1,7,1.3,0,0,"4-2-5","0R",0,6,1,0,0,0.5,1,0,0,0,0,0,0,0,"","","0","O","O",0,0,8,197,1,73.1811184772323
"3","3",5,"2","1","3",0.269695206896217,4568456,5,18,"MIN",24,"PHI",24,9,3,23130,24,"PHI",0,7,"MIN",18,138,"Darius Slay",7817,"IN","RCB",4,"P",2022,436,2,9,"L",16,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"SD",1,8,1.6,1.5,0,"3-3-5","9F",0,6,0,1,0,1,0,0,1,0,0,0,0,0,"","","0","O","C",0,-1,6,436,1,73.0304793103783
"1","2",5,"1","1","3",0.2806632994035,4605737,5,9,"DAL",13,"NYG",21,10,1,23146,21,"NYG",0,6,"DAL",9,113,"Adoree' Jackson",11773,"","LCB",3,"P",2022,134,3,18,"L",-1,1,0,1,12,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SD",1,3,1,0,0,"3-4-4","0R",1,6,0,0,0,0,0,0,0,0,0,0,0,0,"","","1","C","C",0,0,8,1034,1,71.93367005965
"1","3",5,"1","1","2",0.285020215486708,4559259,5,17,"MIA",0,"MIA",17,15,1,23118,3,"BLT",0,7,"BLT",3,23,"Brandon Jones",43049,"","SCBiR",1,"P",2022,246,2,39,"L",-5,1,0,1,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"SD",1,6,1.4,0,1,"3-4-4","0R",1,6,1,1,0,0.5,1,0,0,0,0,0,0,0,"","","1","C","C",0,0,7,1146,1,71.4979784513292
"3","3",7,"3","1","1",0.292336426092912,4560516,7,30,"TB",3,"NO",20,9,3,23115,20,"NO",0,0,"TB",30,63,"Marcus Maye",11794,"P","FSR",2,"P",2022,120,2,86,"X",0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,"SD",0,10,3.3,3,0,"3-2-6","",0,4,0,0,0,0,0,0,0,0,0,0,0,0,"","","2M","O","O",0,0,5,120,1,70.7663573907088
