"","player_name","good_cov_preds","grade_OE","season","down","distance","defense","offense","qb","coverage_grade","primary_coverage","EPA","season_position"
"1","Jalen Ramsey",0.996551114367321,0.0589388856326789,2022,1,10,"LA","BUF","Josh Allen",0,0,0.216,"CB"
"2","Jordan Fuller",0.927381180226803,0.0205288197731972,2022,1,10,"LA","BUF","Josh Allen",0,0,0.216,"S"
"3","Bobby Wagner",0.718794137239456,0.261115862760544,2022,1,10,"LA","BUF","Josh Allen",0,0,0.216,"LB"
"4","Ernest Jones",0.998681431869045,-0.0187714318690449,2022,1,10,"LA","BUF","Josh Allen",0,1,0.216,"LB"
"5","Taylor Rapp",0.763159766793251,0.184750233206749,2022,1,10,"LA","BUF","Josh Allen",0,0,0.216,"S"
"6","Nick Scott",0.792362913489342,0.155547086510658,2022,1,10,"LA","BUF","Josh Allen",0,0,0.216,"S"
"7","Troy Hill",0.633673518896103,0.421816481103897,2022,1,10,"LA","BUF","Josh Allen",0,0,0.216,"CB"
"8","Taylor Rapp",0.918591640889645,0.0293183591103554,2022,2,4,"LA","BUF","Josh Allen",0,0,0.862,"S"
"9","Troy Hill",0.782695889472961,-0.727205889472961,2022,2,4,"LA","BUF","Josh Allen",-0.25,0,0.862,"CB"
"10","Jalen Ramsey",0.888478122651577,0.167011877348423,2022,2,4,"LA","BUF","Josh Allen",0,0,0.862,"CB"
"11","Jordan Fuller",0.996525296242908,-0.0486152962429076,2022,2,4,"LA","BUF","Josh Allen",0,0,0.862,"S"
"12","Bobby Wagner",0.849980592727661,0.129929407272339,2022,2,4,"LA","BUF","Josh Allen",0,0,0.862,"LB"
"13","Nick Scott",0.997654974227771,-0.0497449742277712,2022,2,4,"LA","BUF","Josh Allen",0,0,0.862,"S"
"14","Ernest Jones",0.994710029102862,-0.0148000291028619,2022,2,4,"LA","BUF","Josh Allen",0.25,0,0.862,"LB"
"15","Jalen Ramsey",0.87521255761385,0.18027744238615,2022,2,3,"LA","BUF","Josh Allen",0,0,0.398,"CB"
"16","Taylor Rapp",0.650873959064484,0.297036040935516,2022,2,3,"LA","BUF","Josh Allen",0,0,0.398,"S"
"17","Bobby Wagner",0.681198269128799,0.298711730871201,2022,2,3,"LA","BUF","Josh Allen",0,1,0.398,"LB"
"18","Nick Scott",0.671926528215408,0.275983471784592,2022,2,3,"LA","BUF","Josh Allen",0,0,0.398,"S"
"19","Troy Hill",0.997500747209415,0.0579892527905852,2022,2,3,"LA","BUF","Josh Allen",0,0,0.398,"CB"
"20","David Long Jr.",0.997500747209415,0.0579892527905852,2022,2,3,"LA","BUF","Josh Allen",0,0,0.398,"CB"
"21","Jalen Ramsey",0.78197617828846,0.27351382171154,2022,2,8,"LA","BUF","Josh Allen",0,0,1.007,"CB"
"22","Leonard Floyd",0.914268627762794,-0.914268627762794,2022,2,8,"LA","BUF","Josh Allen",-0.25,1,1.007,"ED"
"23","David Long Jr.",0.813597545027733,0.241892454972267,2022,2,8,"LA","BUF","Josh Allen",0,0,1.007,"CB"
"24","Bobby Wagner",0.813640758395195,0.166269241604805,2022,2,8,"LA","BUF","Josh Allen",0,0,1.007,"LB"
"25","Nick Scott",0.86540798842907,0.0825020115709305,2022,2,8,"LA","BUF","Josh Allen",0,0,1.007,"S"
"26","Troy Hill",0.772754237055779,0.282735762944221,2022,2,8,"LA","BUF","Josh Allen",0,0,1.007,"CB"
"27","Taylor Rapp",0.997688586823642,-0.0497785868236423,2022,2,8,"LA","BUF","Josh Allen",0,0,1.007,"S"
"28","Taylor Rapp",0.997782060643658,-0.049872060643658,2022,2,9,"LA","BUF","Josh Allen",0,0,0.856,"S"
"29","David Long Jr.",0.996562739135697,0.0589272608643025,2022,2,9,"LA","BUF","Josh Allen",0,0,0.856,"CB"
"30","Bobby Wagner",0.995007718447596,-0.0150977184475958,2022,2,9,"LA","BUF","Josh Allen",0,1,0.856,"LB"
"31","Jalen Ramsey",0.702853381633759,0.352636618366241,2022,2,9,"LA","BUF","Josh Allen",0,0,0.856,"CB"
"32","Troy Hill",0.994290130678564,0.0611998693214357,2022,2,9,"LA","BUF","Josh Allen",0.5,0,0.856,"CB"
"33","Nick Scott",0.820874497294426,0.127035502705574,2022,2,9,"LA","BUF","Josh Allen",0,0,0.856,"S"
"34","Ernest Jones",0.779950901865959,-0.800040901865959,2022,2,9,"LA","BUF","Josh Allen",-0.25,0,0.856,"LB"
"35","Taylor Rapp",0.827929973602295,0.119980026397705,2022,3,1,"LA","BUF","Josh Allen",0,0,2.732,"S"
"36","Troy Hill",0.953575693070889,0.101914306929111,2022,3,1,"LA","BUF","Josh Allen",0,0,2.732,"CB"
"37","Jalen Ramsey",0.85076430439949,-0.79527430439949,2022,3,1,"LA","BUF","Josh Allen",-1,1,2.732,"CB"
"38","Bobby Wagner",0.785996034741402,0.193913965258598,2022,3,1,"LA","BUF","Josh Allen",0,0,2.732,"LB"
"39","Ernest Jones",0.910132706165314,0.0697772938346863,2022,3,1,"LA","BUF","Josh Allen",0,0,2.732,"LB"
"40","Nick Scott",0.997543479548767,-0.0496334795487672,2022,3,1,"LA","BUF","Josh Allen",0,0,2.732,"S"
"41","Dane Jackson",0.864325314760208,-0.808835314760208,2022,3,8,"BUF","LA","Matthew Stafford",-0.5,0,3.594,"CB"
"42","Taron Johnson",0.753069832921028,0.302420167078972,2022,3,8,"BUF","LA","Matthew Stafford",0,0,3.594,"CB"
"43","Micah Hyde",0.994498443324119,-0.0465884433241189,2022,3,8,"BUF","LA","Matthew Stafford",0.25,0,3.594,"S"
"44","Tremaine Edmunds",0.997100896202028,-0.0171908962020278,2022,3,8,"BUF","LA","Matthew Stafford",0.25,0,3.594,"LB"
"45","Matt Milano",0.784737750887871,0.195172249112129,2022,3,8,"BUF","LA","Matthew Stafford",0,0,3.594,"LB"
"46","Jordan Poyer",0.994783747941256,-1.04687374794126,2022,3,8,"BUF","LA","Matthew Stafford",-0.5,1,3.594,"S"
"47","Christian Benford",0.994533487129956,-0.939043487129956,2022,3,8,"BUF","LA","Matthew Stafford",-0.5,0,3.594,"CB"
"48","Micah Hyde",0.986518919467926,-0.038608919467926,2022,2,9,"BUF","LA","Matthew Stafford",0,0,1.258,"S"
"49","Tremaine Edmunds",0.987723261117935,-0.00781326111793518,2022,2,9,"BUF","LA","Matthew Stafford",0,0,1.258,"LB"
"50","Taron Johnson",0.748455792665482,0.307034207334518,2022,2,9,"BUF","LA","Matthew Stafford",0,0,1.258,"CB"
"51","Christian Benford",0.841640293598175,0.213849706401825,2022,2,9,"BUF","LA","Matthew Stafford",0,0,1.258,"CB"
"52","Jordan Poyer",0.766433820128441,0.181476179871559,2022,2,9,"BUF","LA","Matthew Stafford",0,0,1.258,"S"
"53","Matt Milano",0.822665452957153,0.157244547042847,2022,2,9,"BUF","LA","Matthew Stafford",0,1,1.258,"LB"
"54","Dane Jackson",0.757793053984642,0.297696946015358,2022,2,9,"BUF","LA","Matthew Stafford",0,0,1.258,"CB"
"55","Tremaine Edmunds",0.994444761890918,-1.01453476189092,2022,1,10,"BUF","LA","Matthew Stafford",-0.25,0,-0.0249999999999999,"LB"
"56","Dane Jackson",0.99508765572682,0.0604023442731798,2022,1,10,"BUF","LA","Matthew Stafford",0,0,-0.0249999999999999,"CB"
"57","Matt Milano",0.994729446712881,-0.0148194467128813,2022,1,10,"BUF","LA","Matthew Stafford",0,0,-0.0249999999999999,"LB"
"58","Jordan Poyer",0.994729446712881,-0.0468194467128813,2022,1,10,"BUF","LA","Matthew Stafford",0,0,-0.0249999999999999,"S"
"59","Christian Benford",0.997730855364352,0.0577591446356475,2022,1,10,"BUF","LA","Matthew Stafford",0,1,-0.0249999999999999,"CB"
"60","Taron Johnson",0.996412484208122,0.0590775157918781,2022,1,10,"BUF","LA","Matthew Stafford",0,0,-0.0249999999999999,"CB"
"61","Micah Hyde",0.994787181261927,-1.04687718126193,2022,1,10,"BUF","LA","Matthew Stafford",-0.5,0,-0.0249999999999999,"S"
"62","Micah Hyde",0.99654214642942,-0.0486321464294195,2022,2,6,"BUF","LA","Matthew Stafford",0,0,-1.898,"S"
"63","Tremaine Edmunds",0.7290980219841,0.2508119780159,2022,2,6,"BUF","LA","Matthew Stafford",0,0,-1.898,"LB"
"64","Dane Jackson",0.780999183654785,0.274490816345215,2022,2,6,"BUF","LA","Matthew Stafford",0,0,-1.898,"CB"
"65","Matt Milano",0.997424906352535,-0.0175149063525349,2022,2,6,"BUF","LA","Matthew Stafford",0,0,-1.898,"LB"
"66","Jordan Poyer",0.802581265568733,0.145328734431267,2022,2,6,"BUF","LA","Matthew Stafford",0,0,-1.898,"S"
"67","Christian Benford",0.80139784514904,0.25409215485096,2022,2,6,"BUF","LA","Matthew Stafford",0,0,-1.898,"CB"
"68","Taron Johnson",0.995877212379128,0.0596127876208723,2022,2,6,"BUF","LA","Matthew Stafford",0,0,-1.898,"CB"
"69","Taron Johnson",0.803577736020088,0.251912263979912,2022,3,14,"BUF","LA","Matthew Stafford",0,0,-0.965,"CB"
"70","Micah Hyde",0.997488670283929,-0.0495786702839285,2022,3,14,"BUF","LA","Matthew Stafford",0,0,-0.965,"S"
"71","Tremaine Edmunds",0.785632386803627,0.194277613196373,2022,3,14,"BUF","LA","Matthew Stafford",0,0,-0.965,"LB"
"72","Dane Jackson",0.757164090871811,0.298325909128189,2022,3,14,"BUF","LA","Matthew Stafford",0,0,-0.965,"CB"
"73","Matt Milano",0.994490501470864,-0.0145805014708638,2022,3,14,"BUF","LA","Matthew Stafford",0,0,-0.965,"LB"
"74","Jordan Poyer",0.994490501470864,-0.0465805014708638,2022,3,14,"BUF","LA","Matthew Stafford",0.25,1,-0.965,"S"
"75","Christian Benford",0.793189123272896,0.262300876727104,2022,3,14,"BUF","LA","Matthew Stafford",0,0,-0.965,"CB"
"76","Bobby Wagner",0.994244407862425,-0.0143344078624249,2022,2,3,"LA","BUF","Josh Allen",0.25,0,-1.124,"LB"
"77","Nick Scott",0.750874191522598,0.197035808477402,2022,2,3,"LA","BUF","Josh Allen",0,0,-1.124,"S"
"78","Taylor Rapp",0.782267287373543,0.165642712626457,2022,2,3,"LA","BUF","Josh Allen",0,0,-1.124,"S"
"79","Troy Hill",0.994347533676773,0.0611424663232267,2022,2,3,"LA","BUF","Josh Allen",0,0,-1.124,"CB"
"80","Jalen Ramsey",0.994755166117102,0.0607348338828981,2022,2,3,"LA","BUF","Josh Allen",0,0,-1.124,"CB"
"81","Justin Hollins",0.812749162316322,0.187250837683678,2022,2,3,"LA","BUF","Josh Allen",0,0,-1.124,"ED"
"82","David Long Jr.",0.997206154977903,0.0582838450220972,2022,2,3,"LA","BUF","Josh Allen",0,0,-1.124,"CB"
"83","Nick Scott",0.828049093484879,-0.880139093484879,2022,3,4,"LA","BUF","Josh Allen",-0.5,0,2.292,"S"
"84","Ernest Jones",0.984019013121724,-0.00410901312172413,2022,3,4,"LA","BUF","Josh Allen",0,1,2.292,"LB"
"85","David Long Jr.",0.858513757586479,0.196976242413521,2022,3,4,"LA","BUF","Josh Allen",0,0,2.292,"CB"
"86","Jalen Ramsey",0.995483587495983,0.0600064125040174,2022,3,4,"LA","BUF","Josh Allen",0,0,2.292,"CB"
"87","Troy Hill",0.871239230036736,-0.815749230036735,2022,3,4,"LA","BUF","Josh Allen",-0.5,0,2.292,"CB"
"88","Taylor Rapp",0.996769438497722,-0.0488594384977221,2022,3,4,"LA","BUF","Josh Allen",0,0,2.292,"S"
"89","Bobby Wagner",0.849263831973076,0.130646168026924,2022,3,4,"LA","BUF","Josh Allen",0,0,2.292,"LB"
