"","player_name","good_cov_preds","grade_OE","season","down","distance","week","defense","offense","qb","coverage_grade","primary_coverage","EPA","season_position","game_id","play_id"
"1","Jaire Alexander",0.991052477620542,0.0644375223794579,2023,2,0,1,"GB","CHI","Justin Fields",0,0,2.519,"CB",23805,5117184
"2","Quay Walker",0.881747797131538,0.0981622028684616,2023,2,0,1,"GB","CHI","Justin Fields",0,1,2.519,"LB",23805,5117184
"3","Darnell Savage",0.811446532607079,0.136463467392921,2023,2,0,1,"GB","CHI","Justin Fields",0,0,2.519,"S",23805,5117184
"4","Rudy Ford",0.744412571191788,0.203497428808212,2023,2,0,1,"GB","CHI","Justin Fields",0,0,2.519,"S",23805,5117184
"5","De'Vondre Campbell",0.788424775004387,0.191485224995613,2023,2,0,1,"GB","CHI","Justin Fields",0,0,2.519,"LB",23805,5117184
"6","Rasul Douglas",0.993432839401066,0.0620571605989337,2023,2,0,1,"GB","CHI","Justin Fields",0,0,2.519,"CB",23805,5117184
"7","Keisean Nixon",0.825486555695534,0.230003444304466,2023,2,0,1,"GB","CHI","Justin Fields",0,0,2.519,"CB",23805,5117184
"8","Jaire Alexander",0.806995928287506,0.248494071712494,2023,1,0,1,"GB","CHI","Justin Fields",0.25,0,0.021,"CB",23805,5117195
"9","Rasul Douglas",0.875845238566399,0.179644761433601,2023,1,0,1,"GB","CHI","Justin Fields",0,1,0.021,"CB",23805,5117195
"10","Keisean Nixon",0.844273060560226,-0.788783060560226,2023,1,0,1,"GB","CHI","Justin Fields",-0.5,0,0.021,"CB",23805,5117195
"11","Rudy Ford",0.80467015504837,-0.85676015504837,2023,1,0,1,"GB","CHI","Justin Fields",-0.5,0,0.021,"S",23805,5117195
"12","Preston Smith",0.751627922058105,0.248372077941895,2023,1,0,1,"GB","CHI","Justin Fields",0,0,0.021,"ED",23805,5117195
"13","Darnell Savage",0.911968320608139,0.035941679391861,2023,1,0,1,"GB","CHI","Justin Fields",0,0,0.021,"S",23805,5117195
"14","Quay Walker",0.991000675596297,-1.0110906755963,2023,1,0,1,"GB","CHI","Justin Fields",-0.5,0,0.021,"LB",23805,5117195
"15","Jaquan Brisker",0.993382441811264,-0.0454724418112636,2023,3,0,1,"CHI","GB","Jordan Love",0,0,2.161,"S",23805,5117287
"16","Kyler Gordon",0.992333910893649,0.0631560891063511,2023,3,0,1,"CHI","GB","Jordan Love",0,0,2.161,"CB",23805,5117287
"17","T.J. Edwards",0.826818630099297,0.153091369900703,2023,3,0,1,"CHI","GB","Jordan Love",0,0,2.161,"LB",23805,5117287
"18","Tremaine Edmunds",0.752480059862137,0.227429940137863,2023,3,0,1,"CHI","GB","Jordan Love",0,0,2.161,"LB",23805,5117287
"19","Eddie Jackson",0.785321921110153,0.162588078889847,2023,3,0,1,"CHI","GB","Jordan Love",0,0,2.161,"S",23805,5117287
"20","Jaylon Johnson",0.769916698336601,-0.714426698336601,2023,3,0,1,"CHI","GB","Jordan Love",-0.25,1,2.161,"CB",23805,5117287
"21","Tyrique Stevenson",0.829942166805267,0.225547833194733,2023,3,0,1,"CHI","GB","Jordan Love",0,0,2.161,"CB",23805,5117287
"22","Tremaine Edmunds",0.905393473803997,0.074516526196003,2023,2,0,1,"CHI","GB","Jordan Love",0.25,0,-0.477,"LB",23805,5117348
"23","Jack Sanborn",0.994130881968886,-0.0142208819688857,2023,2,0,1,"CHI","GB","Jordan Love",0,0,-0.477,"LB",23805,5117348
"24","Jaylon Johnson",0.869835510849953,0.185654489150047,2023,2,0,1,"CHI","GB","Jordan Love",0.5,0,-0.477,"CB",23805,5117348
"25","Jaquan Brisker",0.996235929429531,-0.0483259294295311,2023,2,0,1,"CHI","GB","Jordan Love",0,0,-0.477,"S",23805,5117348
"26","Tyrique Stevenson",0.989217670634389,-0.933727670634389,2023,2,0,1,"CHI","GB","Jordan Love",-0.5,1,-0.477,"CB",23805,5117348
"27","T.J. Edwards",0.991052477620542,-0.011142477620542,2023,2,0,1,"CHI","GB","Jordan Love",0.25,0,-0.477,"LB",23805,5117348
"28","Eddie Jackson",0.993765690363944,-0.0458556903639436,2023,2,0,1,"CHI","GB","Jordan Love",0,0,-0.477,"S",23805,5117348
